phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,104,8,26624,69,17664,d5:r104:peven:b2,d5:r173:peven:b2,Q_K:T0,Q_K:T0,223,212,9,9,0,9,2,0,212,11,0.950672645740,0.049327354260,yes,yes,yes,yes,yes,yes
calibration,5,104,9,53248,69,35328,d5:r104:peven:b2,d5:r173:peven:b2,Q_K:T0,Q_K:T0,447,435,10,10,0,10,2,0,435,12,0.973154362416,0.026845637584,yes,yes,yes,yes,yes,yes
calibration,5,104,10,106496,69,70656,d5:r104:peven:b2,d5:r173:peven:b2,Q_K:T0,Q_K:T0,920,907,11,11,0,11,2,0,907,13,0.985869565217,0.014130434783,yes,yes,yes,yes,yes,yes
calibration,5,107,8,27392,71,18176,d5:r107:podd:b0,d5:r185:peven:b2,visible,d4:r71:podd:b0,3557,77,3478,2248,2248,0,2,1230,2325,1232,0.653640708462,0.346359291538,yes,yes,yes,yes,yes,yes
calibration,5,107,9,54784,71,36352,d5:r107:podd:b0,d5:r185:peven:b2,visible,d4:r71:podd:b0,6812,184,6626,4400,4400,0,2,2226,4584,2228,0.672930123312,0.327069876688,yes,yes,yes,yes,yes,yes
calibration,5,107,10,109568,71,72704,d5:r107:podd:b0,d5:r185:peven:b2,visible,d4:r71:podd:b0,13269,371,12896,8809,8809,0,2,4087,9180,4089,0.691838118924,0.308161881076,yes,yes,yes,yes,yes,yes
calibration,5,110,8,28160,73,18688,d5:r110:peven:b1,d5:r197:peven:b2,Q_K:T0,Q_K:T0,914,176,736,422,0,422,2,314,176,738,0.192560175055,0.807439824945,yes,yes,yes,yes,yes,yes
calibration,5,110,9,56320,73,37376,d5:r110:peven:b1,d5:r197:peven:b2,Q_K:T0,Q_K:T0,1705,316,1387,922,0,922,2,465,316,1389,0.185337243402,0.814662756598,yes,yes,yes,yes,yes,yes
calibration,5,110,10,112640,73,74752,d5:r110:peven:b1,d5:r197:peven:b2,Q_K:T0,Q_K:T0,3317,608,2707,1822,0,1822,2,885,608,2709,0.183298160989,0.816701839011,yes,yes,yes,yes,yes,yes
calibration,5,113,8,28928,75,19200,d5:r113:podd:b0,d5:r209:peven:b2,Q_K:T0,Q_K:T0,389,378,9,9,0,9,2,0,378,11,0.971722365039,0.028277634961,yes,yes,yes,yes,yes,yes
calibration,5,113,9,57856,75,38400,d5:r113:podd:b0,d5:r209:peven:b2,Q_K:T0,Q_K:T0,779,767,10,10,0,10,2,0,767,12,0.984595635430,0.015404364570,yes,yes,yes,yes,yes,yes
calibration,5,113,10,115712,75,76800,d5:r113:podd:b0,d5:r209:peven:b2,Q_K:T0,Q_K:T0,1515,1502,11,11,0,11,2,0,1502,13,0.991419141914,0.008580858086,yes,yes,yes,yes,yes,yes
calibration,5,116,8,29696,77,19712,d5:r116:peven:b2,d5:r221:peven:b2,visible,d4:r77:podd:b0,1043,99,942,583,583,0,2,359,682,361,0.653883029722,0.346116970278,yes,yes,yes,yes,yes,yes
calibration,5,116,9,59392,77,39424,d5:r116:peven:b2,d5:r221:peven:b2,visible,d4:r77:podd:b0,1852,184,1666,1186,1186,0,2,480,1370,482,0.739740820734,0.260259179266,yes,yes,yes,yes,yes,yes
