phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,6266,4177,8354,9,3208192,3207936,1665,1456,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6266,4177,8354,10,6416384,6415872,3142,2767,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6374,4249,8498,8,1631744,1631616,3867,3496,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6374,4249,8498,9,3263488,3263232,7763,6980,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6374,4249,8498,10,6526976,6526464,15359,13956,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6482,4321,8642,8,1659392,1659264,1727,1282,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6482,4321,8642,9,3318784,3318528,3247,2435,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6482,4321,8642,10,6637568,6637056,6090,4649,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6590,4393,8786,8,1687040,1686912,1553,1350,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6590,4393,8786,9,3374080,3373824,3179,2672,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6590,4393,8786,10,6748160,6747648,5950,4941,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6698,4465,8930,8,1714688,1714560,24119,23933,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6698,4465,8930,9,3429376,3429120,48083,47606,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6698,4465,8930,10,6858752,6858240,96463,95530,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6806,4537,9074,8,1742336,1742208,2000,592,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6806,4537,9074,9,3484672,3484416,4083,1383,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6806,4537,9074,10,6969344,6968832,7908,2682,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6914,4609,9218,8,1769984,1769856,1476,1341,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6914,4609,9218,9,3539968,3539712,3073,2834,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,6914,4609,9218,10,7079936,7079424,5821,5382,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7022,4681,9362,8,1797632,1797504,1685,1467,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7022,4681,9362,9,3595264,3595008,3225,2849,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7022,4681,9362,10,7190528,7190016,6419,5728,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7130,4753,9506,8,1825280,1825152,1916,1547,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,7130,4753,9506,9,3650560,3650304,3883,3117,True,True,True,True,True,True,True,True
