mode,row_kind,retarded_mode,auxiliary_mode,target,slack
4880,D1,19520,6506,648756969/50000000,589359210181641834943951/31029703256250000000000000000
4883,D2,19532,,123945259/100000000,901313752061/496475252100000000
4886,D3,19544,3257,808048503/100000000,7170220202452761418007927/606048891723632812500000000000
4889,D1,19556,6518,37946997/10000000,689631509127051966807407/124118813025000000000000000000
4892,D2,19568,,258235581/100000000,1880218350299/496475252100000000
4895,D3,19580,3263,335625617/100000000,24439068202368099050630493983/4964752521000000000000000000000000
4898,D1,19592,6530,880391159/100000000,1600540295557428312476933/124118813025000000000000000000
4901,D2,19604,,110944023/50000000,806120868017/248237626050000000
4904,D3,19616,3269,604723023/100000000,879170600335251271001000657/99295050420000000000000000000000
4907,D1,19628,6542,178445547/25000000,432514600347465390262249/41372937675000000000000000000
4910,D2,19640,,27678687/20000000,201258780073/99295050420000000
4913,D3,19652,3275,212268053/50000000,30855320933838037364796826129/4964752521000000000000000000000000
4916,D1,19664,6554,12144489/1250000,13087385317477386458753/919398615000000000000000000
4919,D2,19676,,453781047/100000000,3297324730513/496475252100000000
4922,D3,5,3281,342212447/100000000,165760004540127875220652351/33098350140000000000000000000000
4925,D1,17,5,383605953/100000000,348226726074887822030387/62059406512500000000000000000
4928,D2,29,,163907273/100000000,397187671589/165491750700000000
4931,D3,41,3287,55562603/6250000,504978144283432577516347697/38787129070312500000000000000000
4934,D1,53,17,70586033/12500000,256708341229519256473681/31029703256250000000000000000
4937,D2,65,,68687769/50000000,500095384351/248237626050000000
4940,D3,77,3293,19234111/2000000,34944116601068032829930538571/2482376260500000000000000000000000
4943,D1,89,29,507905101/100000000,184509084382211426584601/24823762605000000000000000000
4946,D2,101,,136961663/50000000,995940397577/248237626050000000
4949,D3,113,3299,1747189/500000,6358871951335210833753514991/1241188130250000000000000000000000
4952,D1,125,41,79304333/20000000,721392473612850763198033/124118813025000000000000000000
4955,D2,137,,154163921/25000000,1120968005159/124118813025000000
4958,D3,149,3305,64518063/12500000,1251742793478090163781165401/165491750700000000000000000000000
4961,D1,161,53,894488391/100000000,1626057147401443090312991/124118813025000000000000000000
4964,D2,173,,70576901/50000000,513635882579/248237626050000000
4967,D3,185,3311,85071931/5000000,76331727670603603479401489/3064662050000000000000000000000
4970,D1,197,65,458857613/100000000,277972116202634595208273/41372937675000000000000000000
4973,D2,209,,48591869/25000000,353482148251/124118813025000000
4976,D3,221,3317,119291169/50000000,17296378557814211336512097189/4964752521000000000000000000000000
4979,D1,233,77,766774487/100000000,174228316803068457137903/15514851628125000000000000000
4982,D2,245,,79870329/50000000,579544150591/248237626050000000
4985,D3,257,3323,850449693/100000000,20608473349676261330083360993/1654917507000000000000000000000000
4988,D1,269,89,634133873/100000000,576204141726408180394691/62059406512500000000000000000
4991,D2,281,,83059111/50000000,603670731169/248237626050000000
4994,D3,293,3329,240079737/50000000,484757491656015489693452947/68954896125000000000000000000000
4997,D1,305,101,779556159/100000000,1416979275628063282986061/124118813025000000000000000000
5000,D2,317,,233189567/100000000,565521950531/165491750700000000
5003,D3,329,3335,82519133/20000000,3336090532606277273849900009/551639169000000000000000000000000
5006,D1,341,113,196497291/50000000,713913019545418708259003/124118813025000000000000000000
5009,D2,353,,142923577/100000000,1039578912383/496475252100000000
5012,D3,365,3341,331965963/20000000,120676548897494660872222401379/4964752521000000000000000000000000
5015,D1,377,125,947650567/100000000,860948985478400239398709/62059406512500000000000000000
5018,D2,389,,120729609/100000000,878157905711/496475252100000000
5021,D3,401,3347,181856509/12500000,13222976873968907258365363529/620594065125000000000000000000000
5024,D1,413,137,153354467/12500000,278716851724690038455447/15514851628125000000000000000
5027,D2,425,,480732043/100000000,388087807733/55163916900000000
5030,D3,437,3353,66315829/20000000,482356713696265294009428193/99295050420000000000000000000000
5033,D1,449,149,433990841/100000000,4378450120411265846231/689548961250000000000000000
5036,D2,461,,11957863/5000000,86884977377/24823762605000000
5039,D3,473,3359,156910039/25000000,11411290352161980799526067113/1241188130250000000000000000000000
5042,D1,485,161,1829299103/100000000,6925884439467366081473/258580860468750000000000000
5045,D2,497,,127531131/100000000,927861768749/496475252100000000
5048,D3,509,3365,77012487/6250000,44781761114856326678080148951/2482376260500000000000000000000000
5051,D1,521,173,24763673/6250000,719791957865091992177677/124118813025000000000000000000
5054,D2,533,,22302539/10000000,54078349727/16549175070000000
5057,D3,545,3371,22787609/6250000,530000848579509626752876061/99295050420000000000000000000000
5060,D1,557,185,387633393/100000000,703990076103195734682479/124118813025000000000000000000
5063,D2,569,,196257179/100000000,1429395401741/496475252100000000
5066,D3,581,3377,880036579/100000000,21322896728270572783047481799/1654917507000000000000000000000000
5069,D1,593,197,1054715373/100000000,639071000612391974749229/41372937675000000000000000000
5072,D2,605,,35351449/20000000,85752082357/33098350140000000
5075,D3,617,3383,762383931/100000000,55407242658649786810210416949/4964752521000000000000000000000000
5078,D1,629,209,61782869/10000000,74821605272988527728073/8274587535000000000000000000
5081,D2,641,,325531239/100000000,789503498827/165491750700000000
5084,D3,653,3389,7377267/2500000,268153467147263543284739089/62059406512500000000000000000000
5087,D1,665,221,201957343/50000000,45879699086643032142853/7757425814062500000000000000
