phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,20,1,0,56,37,74,8,14336,14208,1368,1215,True,True,True,True,True,True,True,True
calibration,36,2,20,1,0,56,37,74,9,28672,28416,3056,2717,True,True,True,True,True,True,True,True
calibration,36,2,20,1,0,56,37,74,10,57344,56832,6102,5452,True,True,True,True,True,True,True,True
calibration,36,2,20,1,1,164,109,218,8,41984,41856,1424,1235,True,True,True,True,True,True,True,True
calibration,36,2,20,1,1,164,109,218,9,83968,83712,3193,2731,True,True,True,True,True,True,True,True
calibration,36,2,20,1,1,164,109,218,10,167936,167424,6137,5260,True,True,True,True,True,True,True,True
calibration,36,2,20,1,2,272,181,362,8,69632,69504,746,608,True,True,True,True,True,True,True,True
calibration,36,2,20,1,2,272,181,362,9,139264,139008,1398,1133,True,True,True,True,True,True,True,True
calibration,36,2,20,1,2,272,181,362,10,278528,278016,2980,2449,True,True,True,True,True,True,True,True
calibration,36,2,20,1,3,380,253,506,8,97280,97152,2992,2650,True,True,True,True,True,True,True,True
calibration,36,2,20,1,3,380,253,506,9,194560,194304,5708,5106,True,True,True,True,True,True,True,True
calibration,36,2,20,1,3,380,253,506,10,389120,388608,11857,10011,True,True,True,True,True,True,True,True
calibration,36,2,20,1,4,488,325,650,8,124928,124800,31244,30890,True,True,True,True,True,True,True,True
calibration,36,2,20,1,4,488,325,650,9,249856,249600,61402,60757,True,True,True,True,True,True,True,True
calibration,36,2,20,1,4,488,325,650,10,499712,499200,121492,120186,True,True,True,True,True,True,True,True
calibration,36,2,20,1,5,596,397,794,8,152576,152448,1089,692,True,True,True,True,True,True,True,True
calibration,36,2,20,1,5,596,397,794,9,305152,304896,2181,1460,True,True,True,True,True,True,True,True
calibration,36,2,20,1,5,596,397,794,10,610304,609792,4392,2933,True,True,True,True,True,True,True,True
calibration,36,2,20,1,6,704,469,938,8,180224,180096,1412,1206,True,True,True,True,True,True,True,True
calibration,36,2,20,1,6,704,469,938,9,360448,360192,3427,2885,True,True,True,True,True,True,True,True
calibration,36,2,20,1,6,704,469,938,10,720896,720384,6919,5840,True,True,True,True,True,True,True,True
calibration,36,2,20,1,7,812,541,1082,8,207872,207744,1457,1247,True,True,True,True,True,True,True,True
calibration,36,2,20,1,7,812,541,1082,9,415744,415488,2913,2513,True,True,True,True,True,True,True,True
calibration,36,2,20,1,7,812,541,1082,10,831488,830976,5815,5118,True,True,True,True,True,True,True,True
calibration,36,2,20,2,0,92,61,122,8,23552,23424,6612,6158,True,True,True,True,True,True,True,True
calibration,36,2,20,2,0,92,61,122,9,47104,46848,12889,12073,True,True,True,True,True,True,True,True
calibration,36,2,20,2,0,92,61,122,10,94208,93696,25117,23552,True,True,True,True,True,True,True,True
calibration,36,2,20,2,1,200,133,266,8,51200,51072,928,322,True,True,True,True,True,True,True,True
calibration,36,2,20,2,1,200,133,266,9,102400,102144,1943,639,True,True,True,True,True,True,True,True
calibration,36,2,20,2,1,200,133,266,10,204800,204288,4124,1193,True,True,True,True,True,True,True,True
calibration,36,2,20,2,2,308,205,410,8,78848,78720,2077,1773,True,True,True,True,True,True,True,True
calibration,36,2,20,2,2,308,205,410,9,157696,157440,4191,3408,True,True,True,True,True,True,True,True
calibration,36,2,20,2,2,308,205,410,10,315392,314880,8567,7044,True,True,True,True,True,True,True,True
calibration,36,2,20,2,3,416,277,554,8,106496,106368,907,227,True,True,True,True,True,True,True,True
calibration,36,2,20,2,3,416,277,554,9,212992,212736,2043,621,True,True,True,True,True,True,True,True
calibration,36,2,20,2,3,416,277,554,10,425984,425472,4313,1395,True,True,True,True,True,True,True,True
calibration,36,2,20,2,4,524,349,698,8,134144,134016,1943,322,True,True,True,True,True,True,True,True
calibration,36,2,20,2,4,524,349,698,9,268288,268032,3723,636,True,True,True,True,True,True,True,True
calibration,36,2,20,2,4,524,349,698,10,536576,536064,7300,1273,True,True,True,True,True,True,True,True
calibration,36,2,20,2,5,632,421,842,8,161792,161664,691,307,True,True,True,True,True,True,True,True
calibration,36,2,20,2,5,632,421,842,9,323584,323328,1336,614,True,True,True,True,True,True,True,True
calibration,36,2,20,2,5,632,421,842,10,647168,646656,2497,1184,True,True,True,True,True,True,True,True
calibration,36,2,20,2,6,740,493,986,8,189440,189312,554,292,True,True,True,True,True,True,True,True
calibration,36,2,20,2,6,740,493,986,9,378880,378624,1558,540,True,True,True,True,True,True,True,True
calibration,36,2,20,2,6,740,493,986,10,757760,757248,3770,1049,True,True,True,True,True,True,True,True
calibration,36,2,20,2,7,848,565,1130,8,217088,216960,921,121,True,True,True,True,True,True,True,True
calibration,36,2,20,2,7,848,565,1130,9,434176,433920,1653,239,True,True,True,True,True,True,True,True
calibration,36,2,20,2,7,848,565,1130,10,868352,867840,3269,497,True,True,True,True,True,True,True,True
calibration,36,2,29,0,0,29,19,38,8,7424,7296,1060,743,True,True,True,True,True,True,True,True
calibration,36,2,29,0,0,29,19,38,9,14848,14592,1937,1383,True,True,True,True,True,True,True,True
calibration,36,2,29,0,0,29,19,38,10,29696,29184,3679,2577,True,True,True,True,True,True,True,True
calibration,36,2,29,0,1,137,91,182,8,35072,34944,6388,5953,True,True,True,True,True,True,True,True
calibration,36,2,29,0,1,137,91,182,9,70144,69888,12528,11720,True,True,True,True,True,True,True,True
calibration,36,2,29,0,1,137,91,182,10,140288,139776,25123,23434,True,True,True,True,True,True,True,True
calibration,36,2,29,0,2,245,163,326,8,62720,62592,859,460,True,True,True,True,True,True,True,True
calibration,36,2,29,0,2,245,163,326,9,125440,125184,1727,1002,True,True,True,True,True,True,True,True
calibration,36,2,29,0,2,245,163,326,10,250880,250368,3301,1958,True,True,True,True,True,True,True,True
calibration,36,2,29,0,3,353,235,470,8,90368,90240,938,802,True,True,True,True,True,True,True,True
calibration,36,2,29,0,3,353,235,470,9,180736,180480,1747,1508,True,True,True,True,True,True,True,True
calibration,36,2,29,0,3,353,235,470,10,361472,360960,3583,3171,True,True,True,True,True,True,True,True
calibration,36,2,29,0,4,461,307,614,8,118016,117888,2072,1720,True,True,True,True,True,True,True,True
calibration,36,2,29,0,4,461,307,614,9,236032,235776,4102,3457,True,True,True,True,True,True,True,True
calibration,36,2,29,0,4,461,307,614,10,472064,471552,8300,7034,True,True,True,True,True,True,True,True
calibration,36,2,29,0,5,569,379,758,8,145664,145536,2011,1771,True,True,True,True,True,True,True,True
calibration,36,2,29,0,5,569,379,758,9,291328,291072,4396,3852,True,True,True,True,True,True,True,True
calibration,36,2,29,0,5,569,379,758,10,582656,582144,8776,7709,True,True,True,True,True,True,True,True
calibration,36,2,29,0,6,677,451,902,8,173312,173184,743,563,True,True,True,True,True,True,True,True
calibration,36,2,29,0,6,677,451,902,9,346624,346368,1419,1097,True,True,True,True,True,True,True,True
calibration,36,2,29,0,6,677,451,902,10,693248,692736,2602,2030,True,True,True,True,True,True,True,True
calibration,36,2,29,0,7,785,523,1046,8,200960,200832,905,701,True,True,True,True,True,True,True,True
calibration,36,2,29,0,7,785,523,1046,9,401920,401664,1777,1317,True,True,True,True,True,True,True,True
calibration,36,2,29,0,7,785,523,1046,10,803840,803328,3691,2641,True,True,True,True,True,True,True,True
calibration,36,2,29,1,0,65,43,86,8,16640,16512,1017,604,True,True,True,True,True,True,True,True
calibration,36,2,29,1,0,65,43,86,9,33280,33024,2589,1308,True,True,True,True,True,True,True,True
calibration,36,2,29,1,0,65,43,86,10,66560,66048,5192,2466,True,True,True,True,True,True,True,True
calibration,36,2,29,1,1,173,115,230,8,44288,44160,1643,187,True,True,True,True,True,True,True,True
